Brand name,keywords,est_search_volume,sat url,ahrefs_organic_traffic,ahrefs_DR,ahrefs_organic_keywords,ahrefs_traffic_value_usd,top_serp_keyword,top_serp_position
Esportes da Sorte,esportes da sorte; esportes da sorte cassino; esportes da sorte cadastro,"450,000; 157,500; 45,000",esporte-da-sorte.com/,61805,20.0,37,87280.42,,
Esportes da Sorte,esportes da sorte; esportes da sorte cassino; esportes da sorte site oficial,"450,000; 157,500; 54,000",esportesdasorte-oficial.com.br/pt-br/,23467,6.0,51,32775.2,,
Esportes da Sorte,esportes da sorte; esportes da sorte cassino; esportes da sorte cadastro,"450,000; 157,500; 45,000",esportesdasorte.net.br/,19632,2.6,36,25732.68,,
Cbet,cbet; cbet cassino; cbet cadastro,"27,100; 9,485; 2,710",cbet-gg.br.com/,17899,90.0,7,16260.97,,
KTO,kto; kto cassino; kto cadastro,"368,000; 128,799; 36,800",kto.jogo.com.br/,4517,0.8,38,7598.11,kto | apostas esportivas e cassino online,6
Esportes da Sorte,esportes da sorte; esportes da sorte cassino; esportes da sorte cadastro,"450,000; 157,500; 45,000",esportesdasortebr.br.com/pt-br/,4221,90.0,196,2317.45,,
Esportes da Sorte,esportes da sorte; esportes da sorte cassino; esportes da sorte cadastro,"450,000; 157,500; 45,000",esportesdasorte.br.com/,2702,90.0,132,1461.67,,
Betano,betano; betano cassino; betano cadastro,"1,830,000; 640,500; 183,000",betano.cassino.br.com/,2688,90.0,49,1681.17,,
20Bet,20bet; 20bet cassino; 20bet cadastro,"33,100; 11,585; 3,310",20betsite.com/,2089,7.0,30,3901.54,,
Vai de Bet,vai de bet; vai de bet cassino; vai de bet cadastro,"135,000; 47,250; 13,500",vai-de-bet.br.com/,1483,90.0,1,2194.14,,
Esportes da Sorte,esportes da sorte; esportes da sorte cassino; esportes da sorte cadastro,"450,000; 157,500; 45,000",esportes-da-sortes.com/,1109,42.0,47,727.33,,
Pin-Up,pin-up; pin-up cassino; pin-up cadastro,"246,000; 86,100; 24,600",pinupbet.com.br/,310,11.0,35,164.16,,
Vai de Bet,vai de bet; vai de bet cassino; vai de bet cadastro,"135,000; 47,250; 13,500",vaidebetpt.com/,205,3.6,46,351.39,vai de bet bonus cassino,11
Mostbet,mostbet; mostbet cassino; mostbet cadastro,"165,000; 57,749; 16,500",mostbet.net.br/,203,18.0,29,159.66,,
Esportes da Sorte,esportes da sorte; esportes da sorte cassino; esportes da sorte cadastro,"450,000; 157,500; 45,000",esportesdasorte-brasil.com.br/,166,1.1,6,142.96,,
1xBet,1xbet; 1xbet cassino; 1xbet cadastro,"673,000; 235,549; 67,300",1xbetonline.com.br/pt-br/,159,27.0,44,95.93,,
1xBet,1xbet; 1xbet cassino; 1xbet cadastro,"673,000; 235,549; 67,300",1xbet1.com.br/,121,31.0,41,88.21,,
Melbet,melbet; melbet cassino; melbet cadastro,"110,000; 38,500; 11,000",melbets.com.br/,113,31.0,21,63.65,,
Mostbet,mostbet; mostbet cassino; mostbet cadastro,"165,000; 57,749; 16,500",en.mostbetbr.net/,106,11.0,18,66.19,,
22Bet,22bet; 22bet cassino; 22bet cadastro,"60,500; 21,175; 6,050",brasil-22bet.com.br/,102,0.9,10,28.66,,
Mostbet,mostbet; mostbet cassino; mostbet cadastro,"165,000; 57,749; 16,500",mostbetbrasil.com/,71,8.0,15,55.74,,
Melbet,melbet; melbet cassino; melbet cadastro,"110,000; 38,500; 11,000",melbetbr.com/,68,3.2,15,99.75,,
