Бренд,Тір,Частотка (бренд-кей),Доведений топ-паразит,Трафік паразита/міс,Сайтів,Мікс доменів,Пріоритет
Betano,жирний,1830000,betano.cassino.br.com,2688,5,"2×.com.br,1×.com,1×*.br.com,1×дроп",середній (офіціал+gov оборона)
Esportes da Sorte,жирний,450000,esporte-da-sorte.com,61805,5,"2×.com.br,1×.com,1×*.br.com,1×дроп",★ ВИСОКИЙ (еталон)
KTO,жирний,368000,kto.jogo.com.br,4517,5,"2×.com.br,1×.com,1×*.br.com,1×дроп",високий
1xBet,жирний,673000,1xbetonline.com.br,159,5,"2×.com.br,1×.com,1×*.br.com,1×дроп",середній
Sportingbet,жирний,301000,sportingbetcasino.com.br,0,5,"2×.com.br,1×.com,1×*.br.com,1×дроп",тест (складний)
Cbet,середній,27100,cbet-gg.br.com,17899,5,"2×*.br.com,2×.com.br,1×дроп",★ ВИСОКИЙ (best ROI)
20Bet,середній,33100,20betsite.com,2089,5,"2×.com,2×.com.br,1×дроп",високий
Vai de Bet,середній,135000,vai-de-bet.br.com,1483,5,"2×*.br.com,2×.com.br,1×дроп",високий
Mostbet,середній,165000,mostbet.net.br,203,5,"2×.com.br,1×.net.br,1×.com,1×дроп",середній (мережа дропів)
Pin-Up,середній,246000,pinupbet.com.br,310,5,"2×.com.br,1×.com,1×*.br.com,1×дроп",середній
