Brand name,surviving_parasites,total_parasite_traffic,total_value_usd,top_parasite,top_parasite_traffic
Esportes da Sorte,7,113102,150437.71,esporte-da-sorte.com,61805
Cbet,1,17899,16260.97,cbet-gg.br.com,17899
KTO,1,4517,7598.11,kto.jogo.com.br,4517
Betano,1,2688,1681.17,betano.cassino.br.com,2688
20Bet,1,2089,3901.54,20betsite.com,2089
Vai de Bet,2,1688,2545.53,vai-de-bet.br.com,1483
Mostbet,3,380,281.59,mostbet.net.br,203
Pin-Up,1,310,164.16,pinupbet.com.br,310
1xBet,2,280,184.14,1xbetonline.com.br,159
Melbet,2,181,163.4,melbets.com.br,113
22Bet,1,102,28.66,brasil-22bet.com.br,102
