Brand,domain,http_status,final_url,offsite_redirect(podklejka),canonical,canonical_offsite,hreflang_alternates,cross_domains
1win,1win-argentino.com,403,https://1win-argentino.com/,no,,no,,
1win,1win-colombia-bet.co,200,https://1win-colombia-bet.co/,no,https://1win-colombia-bet.co/co/,no,es:https://1win-colombia-bet.co/ | es-CO:https://1win-colombia-bet.co/co/,
1win,1win-colombia.org,200,https://1win-colombia.org/,no,https://riverhome.co/es-co/,yes,es:https://riverhome.co/es-co/ | es-CO:https://1win-colombia.org/es-co/,riverhome.co
1win,1win1.co,403,https://1win1.co/,no,,no,,
1win,1winoficial.com.co,200,https://1winoficial.com.co/,no,https://1winoficial.com.co/,no,,
1win,1wins.cl,500,https://1wins.cl/,no,,no,,
1win,1wins.com.co,403,https://1wins.com.co/,no,,no,,
20bet,20bets.co,502,https://20bets.co/,no,,no,,
nine,9ninecasino-es.com,503,https://9ninecasino-es.com/,no,,no,,
BBRBet,bbrbet-casinos.com,200,https://bbrbet-casinos.com/,no,https://bbrbet-casinos.com/,no,,
BBRBet,bbrbet-co.com,403,https://bbrbet-co.com/,no,,no,,
BBRBet,bbrbet-mx.app,403,https://bbrbet-mx.app/,no,,no,,
BBRBet,bbrbet-mx.com,403,https://bbrbet-mx.com/,no,,no,,
BBRBet,bbrbet-online.com,200,https://bbrbet-online.com/,no,https://bbrbet-online.com/es-co/,no,es:https://bbrbet-online.com/ | es-CO:https://bbrbet-online.com/es-co/,
BBRBet,bbrbetmx.com,200,https://bbrbetmx.com/,no,https://bbrbetmx.com/,no,en:https://bbrbetmx.com/en/ | es:https://bbrbetmx.com/ | x-default:https://bbrbetmx.com/,
BetPlay,betplays.com.co,200,https://betplays.com.co/,no,https://betplays.com.co/,no,,
Betsson,betsson1001.com,200,https://betsson1001.com/maintenance-pages/betsson.com/country-blocked.html,no,,no,,
bizzo,bizzocasino.com,200,https://bizzocasino.com/,no,,no,,
bizzo,bizzocasinospain.com,200,https://bizzocasinospain.com/,no,https://bizzocasinospain.com/,no,,
Fullreto,blog-fullreto.co,200,https://blog-fullreto.co/,no,https://blog-fullreto.co/,no,,
BetPlay,bplay-argentina.com,200,https://bplay-argentina.com/,no,https://bplay-argentina.com/,no,es-ES:https://bplay-argentina.com/ | es-AR:https://bplay-argentina.com/es-ar/,
BetPlay,bplay.ola.click,403,https://bplay.ola.click/,no,,no,,
Codere,codereonline.com,ERR,ConnectionError,no,,no,,
Colbet,colbetcolombia.co,200,https://colbetcolombia.co/,no,https://colbetcolombia.co/,no,,
1win,colombia-1win.it.com,200,https://colombia-1win.it.com/,no,https://telebucaramanga.com.co/es/,yes,es:https://telebucaramanga.com.co/es/ | es-CO:https://colombia-1win.it.com/es/,telebucaramanga.com.co
1win,colombia1win.app,451,https://colombia1win.app/,no,,no,,
crash,crashcasino.com,403,https://crashcasino.com/,no,,no,,
bizzo,es-bizzocasino.com,200,https://es-bizzocasino.com/,no,https://es-bizzocasino.com/,no,,
Codere,grupocodere.com,ERR,ConnectionError,no,,no,,
hollywood,hollywoodcasinotoledo.com,403,https://www.hollywoodcasinotoledo.com/,no,,no,,
Luckia,luckiagaminggroup.com,200,https://www.luckiagaminggroup.com/,no,https://www.luckiagaminggroup.com/,no,,
Megapuesta,megapuesta-colombia.co,200,https://megapuesta-colombia.co/,no,https://megapuesta-colombia.co/,no,x-default:https://megapuesta-colombia.co/,
melbet,melbet-colombia.com,200,https://melbet-colombia.com/,no,https://melbet-colombia.com/,no,en:https://melbet-colombia.com/en/ | es:https://melbet-colombia.com/,
Mostbet,mostbet-win.com.co,200,https://mostbet-win.com.co/,no,https://mostbet-win.com.co/es-co/,no,es:https://mostbet-win.com.co/ | es-CO:https://mostbet-win.com.co/es-co/,
Mostbet,mostbetofficial.com.co,200,https://mostbetofficial.com.co/,no,https://mostbetofficial.com.co/,no,,
Mostbet,mostbetoficial.com,200,https://mostbetoficial.com/,no,https://mostbetoficial.com/,no,,
Mostbet,mostbets.com.co,200,https://mostbets.com.co/,no,https://mostbets.com.co/es-co/,no,es:https://mostbets.com.co/ | es-CO:https://mostbets.com.co/es-co/,
mrbet,mr.bet,200,https://4mrbet.global/es-co?licenseRedirect=1,yes,https://4mrbet.global/es-co?licenseRedirect=1,yes,,4mrbet.global
