grupo,marca,dominio,url,tipo,risco_status,jurisdicao_licenca,numero_licenca,operador,status_br,padrao_tld,sinal,recomendacao
A-licenciada,Betano,www.betano.bet.br,https://www.betano.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.betano.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Bet365,www.bet365.bet.br,https://www.bet365.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet365.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Blaze,blaze.bet.br,https://blaze.bet.br/pt/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,KTO,www.kto.bet.br,https://www.kto.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.kto.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,EstrelaBet,www.estrelabet.bet.br,https://www.estrelabet.bet.br/pb,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.estrelabet.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Sportingbet,www.sportingbet.bet.br,https://www.sportingbet.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.sportingbet.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Pixbet,pix.bet.br,https://pix.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Betnacional,betnacional.bet.br,https://betnacional.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Esportes da Sorte,m.esportesdasorte.bet.br,https://m.esportesdasorte.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.esportesdasorte.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Superbet,superbet.bet.br,https://superbet.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Novibet,www.novibet.bet.br,https://www.novibet.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.novibet.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Vai de Bet,m.vaidebet.bet.br,https://m.vaidebet.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.vaidebet.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Galera.bet,www.galera.bet.br,https://www.galera.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.galera.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Brazino777,www.brazino777.bet.br,https://www.brazino777.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.brazino777.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Bet7k,7k.bet.br,https://7k.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,F12.bet,f12.bet.br,https://f12.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Betfair,www.betfair.bet.br,https://www.betfair.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.betfair.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Stake,stake.bet.br,https://stake.bet.br/,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.bet.br,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Betsson,www.betsson.com,https://www.betsson.com/br/casino,oficial,official,Brasil SPA/MF,.bet.br,,AUTORIZADO,.betsson.com,dominio oficial,Dominio legitimo (.bet.br) — referencia
A-licenciada,Betano,betanoda.com,https://betanoda.com/,clone/lookalike,HIGH,,,,NAO AUTORIZADO,.com,mimetiza betano.com,Prioridade takedown: WHOIS/redirect/forms; reportar registrador + SPA-MF/Anatel
A-licenciada,Betano,betano.cassino.br.com,https://betano.cassino.br.com/,clone/lookalike,MED,,,,NAO AUTORIZADO,.cassino.br.com,subdominio br.com,Verificar afiliacao x impersonacao; monitorar
A-licenciada,Bet365,365betcasino.net,https://365betcasino.net/,clone/lookalike,HIGH,,,,NAO AUTORIZADO,.net,typosquat 365bet + bonus,Prioridade takedown: WHOIS/redirect/forms; reportar registrador + SPA-MF/Anatel
A-licenciada,Bet365,bet365-online.com.br,https://bet365-online.com.br/,clone/lookalike,MED,,,,NAO AUTORIZADO,.com.br,marca+sufixo,Verificar afiliacao x impersonacao; monitorar
A-licenciada,Bet365,bet365s.com.br,https://bet365s.com.br/,clone/lookalike,MED,,,,NAO AUTORIZADO,.com.br,typosquat plural,Verificar afiliacao x impersonacao; monitorar
A-licenciada,Blaze,blazeapostasonline.com.br,https://blazeapostasonline.com.br/,clone/lookalike,MED,,,,NAO AUTORIZADO,.com.br,alega 'Site Oficial',Verificar afiliacao x impersonacao; monitorar
A-licenciada,Blaze,blazeaposta.org,https://blazeaposta.org/,afiliado,LOW,,,,NAO AUTORIZADO,.org,afiliado/review,Provavel afiliado/legado; monitorar
A-licenciada,Blaze,blaze-apostas-br.com,https://blaze-apostas-br.com/,afiliado,LOW,,,,NAO AUTORIZADO,.com,afiliado/review,Provavel afiliado/legado; monitorar
A-licenciada,Blaze,blazeaposta.com,https://blazeaposta.com/,afiliado,LOW,,,,NAO AUTORIZADO,.com,afiliado/review,Provavel afiliado/legado; monitorar
