Brand,volume_partial,parasites_in_serp,official_is_top1,alive_parasites_200,entry_difficulty
BetJuego,1500,0,no,0,"🟢 легко — офиц. не #1, SERP чистый"
Colbet,200,1,no,1,"🟢 легко — офиц. не #1, SERP чистый"
Pin-Up,200,2,no,1,"🟢 легко — офиц. не #1, SERP чистый"
Rushbet,209000,1,yes,0,"🟡 дорого, но места 2-5 свободны (офиц. #1)"
Betsson,117650,1,yes,1,"🟡 дорого, но места 2-5 свободны (офиц. #1)"
Mostbet,1200,5,no,4,"🟡 средне — офиц. не #1, но есть паразиты"
BetPlay,56700,3,yes,2,🔴 тяжело — офиц. лидер держит #1
Rivalo,29950,2,yes,1,🔴 тяжело — офиц. лидер держит #1
Codere,21100,2,yes,0,🔴 тяжело — офиц. лидер держит #1
Wplay,14000,5,yes,4,🔴 тяжело — офиц. лидер держит #1
Stake,3500,0,yes,0,🔴 тяжело — офиц. лидер держит #1
VayCasino,2600,0,yes,0,🔴 тяжело — офиц. лидер держит #1
Bwin,1750,0,yes,0,🔴 тяжело — офиц. лидер держит #1
20bet,1650,1,yes,0,🔴 тяжело — офиц. лидер держит #1
1win,1650,9,no,4,🔴 тяжело — перенасыщено паразитами
YaJuego,1600,0,yes,0,🔴 тяжело — офиц. лидер держит #1
Zamba,1500,2,yes,2,🔴 тяжело — офиц. лидер держит #1
Betano,600,0,yes,0,🔴 тяжело — офиц. лидер держит #1
Sportium,600,1,yes,0,🔴 тяжело — офиц. лидер держит #1
Luckia,500,1,yes,1,🔴 тяжело — офиц. лидер держит #1
BBRBet,300,9,yes,3,🔴 тяжело — перенасыщено паразитами
Bet365,150,0,yes,0,🔴 тяжело — офиц. лидер держит #1
Melbet,150,2,yes,0,🔴 тяжело — офиц. лидер держит #1
Betway,100,1,yes,0,🔴 тяжело — офиц. лидер держит #1
Fullreto,100,1,yes,1,🔴 тяжело — офиц. лидер держит #1
Megapuesta,100,2,yes,1,🔴 тяжело — офиц. лидер держит #1
