Brand,total_volume,n_keywords,parasite_domains_in_serp,best_parasite_position,top1_organic_type,official_is_top1,ease_score
Rushbet,209000,13,1,6,official,yes,8
BetJuego,1500,1,0,,other,no,8
Betsson,117650,23,1,3,official,yes,7
BetPlay,56700,8,3,5,official,yes,7
Rivalo,29950,10,2,5,official,yes,7
Codere,21100,9,2,2,official,yes,6
Stake,3500,2,0,,official,yes,6
VayCasino,2600,1,0,,official,yes,6
Bwin,1750,3,0,,official,yes,6
20bet,1650,2,1,10,official,yes,6
YaJuego,1600,1,0,,official,yes,6
Colbet,200,1,1,3,other,no,6
Zamba,1500,1,2,8,official,yes,5
Betano,600,1,0,,official,yes,5
Bet365,150,1,0,,official,yes,5
Betway,100,1,1,7,official,yes,5
Wplay,14000,17,5,3,official,yes,4
Mostbet,1200,1,5,1,parasite,no,4
Sportium,600,2,1,3,official,yes,4
Luckia,500,1,1,3,official,yes,4
Pin-Up,200,1,2,1,parasite,no,4
Fullreto,100,1,1,3,official,yes,4
1win,1650,3,9,1,parasite,no,3
Melbet,150,1,2,3,official,yes,3
Megapuesta,100,1,2,2,official,yes,3
BBRBet,300,2,9,2,official,yes,1
