Brand,ahrefs_seed_keyword,note
Roobet,roobet,🟢 чистый + фокус-рынок
Pin-Up,pin up,"🟡 hreflang-сеть, но спрос high"
Megapari,megapari,🟢 чистый
Verde Casino,verde casino,🟢 чистый
Nine Casino,nine casino,🟢 чистый
Bizzo,bizzo casino,🟢 чистый
Wazamba,wazamba,🟢 чистый
Mr.Bet,mr bet,🟡 4 клона
GGbet,ggbet,🟡 2-3 клона
20bet,20bet,🟡 3-4 клона
Rabona,rabona,"🟢 чистый, спрос ниже"
Ivibet,ivibet,🟢 чистый
Boomerang,boomerang casino,🟢 чистый
Sportaza,sportaza,🟢 чистый
Leon,leon bet,🟢 в осн. Chile
Spinbetter,spinbetter,🔴 насыщается
Cbet,cbet,⚪ CO restricted
Betfury,betfury,⚪ крипто
Vulkan Vegas,vulkan vegas,⚪ гео-блок CO
Rivalo,rivalo,"доп: грей, проверить"
