Brand,seed_keyword_for_ahrefs,known_volume_partial,opportunity_bucket
Rushbet,rushbet,209000,"ALTO VOLUME (off #1, mas SERP pouco saturado)"
Betsson,betsson,117650,"ALTO VOLUME (off #1, mas SERP pouco saturado)"
BetPlay,betplay,56700,medio
Rivalo,rivalo,29950,"ALTO VOLUME (off #1, mas SERP pouco saturado)"
Codere,codere,21100,"ALTO VOLUME (off #1, mas SERP pouco saturado)"
Wplay,wplay,14000,medio
Stake,stake,3500,medio
VayCasino,vay casino,2600,medio
Bwin,bwin,1750,medio
20bet,20bet,1650,medio
1win,1win,1650,SATURADO (evitar)
YaJuego,yajuego,1600,medio
BetJuego,betjuego,1500,OTIMO (off nao #1 + livre + volume)
Zamba,zamba,1500,medio
Mostbet,mostbet,1200,medio
Betano,betano,600,medio
Sportium,sportium,600,medio
Luckia,luckia,500,medio
BBRBet,bbrbet,300,SATURADO (evitar)
Colbet,colbet,200,"BOM (off nao #1, pouca saturacao)"
Pin-Up,pin up,200,"BOM (off nao #1, pouca saturacao)"
Bet365,bet365,150,medio
Melbet,melbet,150,medio
Betway,betway,100,medio
Fullreto,fullreto,100,medio
Megapuesta,megapuesta,100,medio
