Brand,keyword,volume,KD,top1_domain,top1_type,beat_parasite,user_intent_ru
GGbet,ggbet,150,24,gg.bet,parasite,gg.bet,
GGbet,ggbet casino,50,12,gg.bet,parasite,gg.bet,
GGbet,gg bet,50,58,ggbet1.com,parasite,ggbet1.com,Навигационный (бренд)
GGbet,gg bet casino,20,2,gg.bet,parasite,gg.bet,
GGbet,ggbet colombia,0,17,ggbet1.com,parasite,ggbet1.com,
GGbet,casino ggbet,0,5,gg.bet,parasite,gg.bet,
GGbet,gg.bet casino,0,7,gg.bet,parasite,gg.bet,
GGbet,gg.bet,0,53,gg.bet,parasite,gg.bet,
Mr.Bet,mr bets,10,56,es.wikipedia.org,platform,,
Pin-Up,pin up,450,40,es.wikipedia.org,platform,,
Pin-Up,pin up casino,200,26,pin-ups.com.co,parasite,pin-ups.com.co,
Pin-Up,pin-up casino,150,48,pin-ups.com.co,parasite,pin-ups.com.co,
Pin-Up,pin up girl,150,4,es.wikipedia.org,platform,,
Pin-Up,pin-up,150,54,es.wikipedia.org,platform,,
Pin-Up,pinup,150,40,es.wikipedia.org,platform,,
Pin-Up,pin up casino aviator,40,39,pin-up.world,parasite,pin-up.world,Игры казино
Pin-Up,pin up casino app,10,77,pin-up.world,parasite,pin-up.world,Скачать приложение
Pin-Up,pin up aviator,10,35,pinup-peru.com.pe,parasite,pinup-peru.com.pe,Игры казино
Pin-Up,pin up playing cards,10,0,ebay.com,other,,
Pin-Up,disfraz pin up,10,0,es.pinterest.com,other,,Навигационный (бренд)
Rivalo,codigo de bono rivalo,80,57,futbolred.com,media,,Бонус / промокод
Rivalo,codigo del bono rivalo,70,60,futbolred.com,media,,Бонус / промокод
Roobet,roobet,900,0,play.google.com,platform,,Навигационный (бренд)
Roobet,roobet colombia,100,36,rushbet.co,other,,
Roobet,roobet apuestas,10,37,rushbet.co,other,,Ставки на спорт
VulkanVegas,vulkan vegas es confiable,80,48,es.trustpilot.com,other,,Надёжность / отзывы
