Brand,keyword,volume,KD,top1_domain,top1_type,beat_parasite,user_intent_ru,note
Codere,codigo promocional codere,250,51,goal.com,media,,Бонус / промокод,
Codere,código promocional codere,150,52,bolavip.com,media,,Бонус / промокод,
Codere,descargar codere,150,41,play.google.com,platform,,Скачать приложение,
Mostbet,mostbet,5600,18,mostbet-win.com.co,parasite,mostbet-win.com.co,Навигационный (бренд),
Mostbet,mostbet casino,1200,50,mostbets.com.co,parasite,mostbets.com.co,,
Mostbet,mostbet colombia,450,35,mostbets.com.co,parasite,mostbets.com.co,,
Sportium,sportium opiniones,150,0,eltiempo.com,media,,Надёжность / отзывы,
Wplay,wplay app,900,62,play.google.com,platform,,Скачать приложение,
Wplay,wplay descargar,800,56,play.google.com,platform,,Скачать приложение,
Wplay,codigo promocional wplay,700,58,eltiempo.com,media,,Бонус / промокод,
Wplay,descargar wplay,150,50,play.google.com,platform,,Скачать приложение,
Wplay,wplay apk,100,39,play.google.com,platform,,Скачать приложение,
Wplay,wplays,100,76,wplace.live,other,,,
YaJuego,yajuego apuestas,5300,22,apps.apple.com,platform,,Ставки на спорт,
Zamba,adidas zamba,1200,0,adidas.co,other,,Навигационный (бренд),JUNK (não-casino)
Zamba,zamba adidas,600,0,adidas.co,other,,Навигационный (бренд),JUNK (não-casino)
Zamba,zamba tenis,500,0,adidas.co,other,,Навигационный (бренд),JUNK (não-casino)
Zamba,hotel zamba girardot,250,0,hotelzamba.com.co,parasite,hotelzamba.com.co,,JUNK (não-casino)
