Brand,keyword,volume,KD,top1_domain,top1_type,beat_parasite,user_intent_ru,note
1win,1win login,1700,79,1win-colombia.org,parasite,1win-colombia.org,Вход в аккаунт,
1win,1win descargar,1400,49,1win-colombia.org,parasite,1win-colombia.org,Скачать приложение,
1win,1win apk,1400,58,1winoficial.com.co,parasite,1winoficial.com.co,Скачать приложение,
1win,1 win apk,600,45,1win-colombia.org,parasite,1win-colombia.org,Скачать приложение,
1win,1win online,350,55,1win-colombia.org,parasite,1win-colombia.org,Навигационный (бренд),
1win,descargar 1win colombia,350,50,1wins.com.co,parasite,1wins.com.co,Скачать приложение,
1win,1win colombia descargar,250,48,1winoficial.com.co,parasite,1winoficial.com.co,Скачать приложение,
1win,1win apuestas deportivas,250,50,1win-colombia.org,parasite,1win-colombia.org,Ставки на спорт,
1win,1win lucky jet,200,38,1wins.com.co,parasite,1wins.com.co,,
1win,1win app descargar,150,57,1winbet.com.ve,parasite,1winbet.com.ve,Скачать приложение,
1win,1win colombia app,150,52,1win-colombia.org,parasite,1win-colombia.org,Скачать приложение,
1win,1win apuestas colombia,100,49,1win-colombia.org,parasite,1win-colombia.org,Ставки на спорт,
BetPlay,torneo betplay,88000,45,dimayor.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,tabla posiciones liga betplay,11000,63,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,reclasificación liga betplay,8800,48,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,liga betplay b,6800,35,es.wikipedia.org,platform,,Навигационный (бренд),FUTBOL
BetPlay,proximos partidos liga betplay,4000,62,futbolred.com,media,,Навигационный (бренд),FUTBOL
BetPlay,posiciones de liga betplay,3900,65,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,descenso liga betplay,3300,22,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,tabla cuadrangulares liga betplay,2500,53,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,liga femenina betplay,1800,37,dimayor.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,calculadora liga betplay,1400,24,livefutbol.com,other,,Навигационный (бренд),FUTBOL
BetPlay,tabla de liga betplay,1300,65,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,liga betplay 2,1300,61,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,liga betplay reclasificación,1200,38,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,liga betplay.,1100,56,es.wikipedia.org,platform,,Навигационный (бренд),FUTBOL
BetPlay,clasificacion liga betplay,1000,63,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,posición liga betplay,1000,65,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,resultados torneo betplay,900,62,dimayor.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,reclasificación liga betplay actualizada,800,39,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,simulador liga betplay,700,11,livefutbol.com,other,,Навигационный (бренд),FUTBOL
BetPlay,posiciones torneo betplay,700,57,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,betplay descargar apk,500,54,play.google.com,platform,,Скачать приложение,
BetPlay,tabla posiciones betplay,450,65,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,millonarios liga betplay,400,35,espn.com.co,other,,Скачать приложение,FUTBOL
BetPlay,tabla torneo betplay,400,57,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,resultados del torneo betplay,350,53,365scores.com,other,,Навигационный (бренд),FUTBOL
BetPlay,liga betplay clasificación,350,63,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,liga betplay segunda división,350,41,espn.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,liga betplay standings,350,58,winsports.co,other,,,FUTBOL
BetPlay,liga betplay proxima fecha,350,56,futbolred.com,media,,Навигационный (бренд),FUTBOL
BetPlay,puntos liga betplay,350,57,winsports.co,other,,Навигационный (бренд),FUTBOL
BetPlay,aviator betplay,350,41,aviator-juego.com,other,,Игры казино,
BetPlay,futbol liga betplay,350,48,dimayor.com.co,other,,Ставки на спорт,FUTBOL
BetPlay,liga betplay grupos,300,62,dimayor.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,resultado torneo betplay,250,59,dimayor.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,betplay b,250,44,espn.com.co,other,,Навигационный (бренд),
BetPlay,liga betplay categoria b,250,43,espn.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,la copa betplay,250,25,dimayor.com.co,other,,Навигационный (бренд),FUTBOL
BetPlay,partido de liga betplay,200,60,dimayor.com.co,other,,Навигационный (бренд),FUTBOL
Betsson,codigo promocional betsson,150,53,futbolred.com,media,,Бонус / промокод,
