new_brand,total_volume_keywords
rusbet,10000
rusbeth,6350
betson,3400
aliadoswplay,2700
vaycasino,2600
rushbetiniciarsesin,1800
betjuego,1500
besson,700
betsoon,700
rusbel,700
wolay,700
betssoniniciarsesin,500
wplayaliados,450
wplayinicio,400
wplayiniciarsesin,350
wplau,350
betsom,300
beetson,200
rivaloiniciarsesin,200
wplayregistrarse,200
wplayingreso,200
wplayftbol,200
betsso,200
wply,150
wplayplay,150
sugarrush,150
betssonpoker,150
rushet,100
betason,100
bettsson,100
bienvenidacodere,100
wplaylogo,100
betss,100
