Brand,license_jurisdiction,coljuegos_licensed,serp_saturation,co_popularity_est,parasites_seen,verdict
Megapari,Anjouan/Costa Rica,no,🟢 low,med,"megapari.games, megapari.com.co",чистый SERP (в осн. ревью) — заходить легко
Roobet,Curaçao,no,🟢 low,med-high,"roobet.com, roobetcasino.com","CO — фокус-рынок Roobet, клонов мало"
Parimatch,Curaçao,no,🟢 low,med,parimatch-colombia.ola.click,"почти нет CO-клонов, только глобал+ревью"
Verde Casino,Curaçao,no,🟢 low,med,verdecasino.com/.org,"чистый, гео-сетка номерных зеркал"
Nine Casino,Curaçao/Kahnawake,no,🟢 low,med,nine-casino.co,1-2 домена + ревью
Bizzo,Curaçao,no,🟢 low,med,"bizzocasino.com, bizzo.co.com",чистый SERP
Rabona,Anjouan/Curaçao,no,🟢 low,low-med,rabona.com,мало CO-присутствия
Wazamba,Curaçao (RaBidi),no,🟢 low,med,wazamba.one/.com,1-2 домена + ревью
Ivibet,Curaçao,no,🟢 low,low-med,ivibet.com.co,1 домен + ревью
Boomerang,Curaçao (RaBidi),no,🟢 low,low,boomerang-casino.com,мало CO-присутствия
Sportaza,Curaçao/Tobique,no,🟢 low,low,sportaza.one,"низкая popularity, чистый SERP"
Leon (LeonBet),Curaçao,no,🟢 low,low-med,leon.bet,"в осн. Chile, CO слабо"
Pin-Up,Curaçao,no,🟡 low-med,med-high,"pin-ups.com.co, pin-up.world",hreflang-сеть pin-up.ar/pe/ve/cl
Mr.Bet,Curaçao,no,🟡 low-med,med,"7mrbet.com/co, mrbet-casinoplay.com, mrbets.pro",4 домена — начинает насыщаться
GGbet,Curaçao,no,🟡 low-med,med,"ggbet-casino.co, hells-bet.com/ggbet",2-3 домена
20bet,Curaçao,no,🟡 low-med,med,"20bet.com.co, 20bet-co.com, 20bets.co",3-4 домена
Vulkan Vegas,Curaçao,no (гео-блок CO),🟢 low,low,vulkanvegas-online.com,блокирует CO-резидентов — маргинально
Cbet,Curaçao (#365/JAZ),no (restricted CO),🟢 low,low,cbet-win.co,CO в ограничениях
Spinbetter,Curaçao,no,🔴 med-high,med,"spin-better.co.com/.casino/.cash, spinbetter.green",уже 4+ клонов — насыщается
Betfury,Curaçao (#365/JAZ),no,🟢 low,low-med,betfurycasino.com.br,"крипто, CO-клонов почти нет (SERP не верифицирован в этом прогоне)"
