Brand,satellite_url,http_status,final_url/redirect_or_error
1win,1win-argentino.com,403,
1win,1win-colombia-bet.co,403,
1win,1win-colombia.org,403,
1win,1win1.co,403,
1win,1winoficial.com.co,403,
1win,1wins.cl,403,
1win,1wins.com.co,403,
1win,colombia-1win.it.com,403,
1win,colombia1win.app,403,
20bet,20bets.co,403,
BBRBet,bbrbet-casinos.com,403,
BBRBet,bbrbet-co.com,403,
BBRBet,bbrbet-mx.app,403,
BBRBet,bbrbet-mx.com,403,
BBRBet,bbrbet-online.com,403,
BBRBet,bbrbetmx.com,403,
BetPlay,betplays.com.co,403,
BetPlay,bplay-argentina.com,403,
BetPlay,bplay.ola.click,403,
Betsson,betsson1001.com,403,
bizzo,bizzocasino.com,403,
bizzo,bizzocasinospain.com,403,
bizzo,es-bizzocasino.com,403,
Codere,codereonline.com,ERR,URLError
Codere,grupocodere.com,ERR,URLError
Colbet,colbetcolombia.co,403,
crash,crashcasino.com,403,
Fullreto,blog-fullreto.co,403,
hollywood,hollywoodcasinotoledo.com,403,
Luckia,luckiagaminggroup.com,403,
Megapuesta,megapuesta-colombia.co,403,
melbet,melbet-colombia.com,403,
Mostbet,mostbet-win.com.co,403,
Mostbet,mostbetofficial.com.co,403,
Mostbet,mostbetoficial.com,403,
Mostbet,mostbets.com.co,403,
mrbet,mr.bet,403,
nine,9ninecasino-es.com,403,
nine,ninecasino.com,403,
nine,ninecasino.one,403,
nine,ninecasino.world,403,
nine,ninecasino2.com,403,
Pin-Up,pin-up.world,403,
Pin-Up,pin-ups.com.co,403,
Rivalo,rivaloco.com,403,
rush,rushstreetgaming.com,403,
Sportium,sportiumbet.mx,403,
verde,verdecasino.com,403,
verde,verdecasino.eu.com,403,
vulkanvegas,vulkanvegas-online.com,403,
vulkanvegas,vulkanvegas.eu.com,403,
Wplay,wplaycasinos.co,403,
Wplay,wplaycolombia.com.co,403,
Wplay,wplays.co,403,
Wplay,wplaysports.com,403,
Zamba,zamba-colombia.co,403,
Zamba,zambacolombia.com,403,
