Brand,satellite_url,keyword,search_volume,KD,traffic
1win,1win-colombia.org,1win casino,1100,68,46977
1win,1win1.co,1win casino,1100,68,129
1win,1winoficial.com.co,1win casino,1100,68,0
1win,1wins.com.co,1win casino,1100,68,1681
1win,colombia-1win.it.com,1win casino,1100,68,1346
1win,1win-colombia-bet.co,casino 1win,350,66,54
1win,1win-colombia.org,casino 1win,350,66,46977
1win,1winoficial.com.co,casino 1win,350,66,733
1win,1wins.cl,casino 1win,350,66,183
1win,1wins.com.co,casino 1win,350,66,1681
1win,colombia-1win.it.com,casino 1win,350,66,0
1win,1win-argentino.com,1win casino online,200,74,255
1win,1win-colombia.org,1win casino online,200,74,46977
1win,1winoficial.com.co,1win casino online,200,74,733
1win,1wins.cl,1win casino online,200,74,183
1win,1wins.com.co,1win casino online,200,74,1681
1win,colombia1win.app,1win casino online,200,74,45
20bet,20bets.co,casino online 20bet,1500,52,48
BBRBet,bbrbet-casinos.com,bbrbet casino online,150,62,79
BBRBet,bbrbet-casinos.com,bbrbet casino,150,57,79
BBRBet,bbrbet-co.com,bbrbet casino online,150,62,131
BBRBet,bbrbet-co.com,bbrbet casino,150,57,131
BBRBet,bbrbet-mx.app,bbrbet casino online,150,62,34
BBRBet,bbrbet-mx.app,bbrbet casino,150,57,34
BBRBet,bbrbet-mx.com,bbrbet casino online,150,62,99
BBRBet,bbrbet-mx.com,bbrbet casino,150,57,76
BBRBet,bbrbet-online.com,bbrbet casino online,150,62,151
BBRBet,bbrbet-online.com,bbrbet casino,150,57,151
BBRBet,bbrbetmx.com,bbrbet casino online,150,62,6
BetPlay,betplays.com.co,betplay casino tragamonedas,1000,55,89
BetPlay,bplay-argentina.com,bplay casino,200,73,4
BetPlay,bplay.ola.click,bplay casino,200,73,3
Betsson,betsson1001.com,betsson apuestas,3500,67,394
Betsson,betsson1001.com,betsson casino,1300,74,148
Betsson,betsson1001.com,betsson bono,700,52,45
Betsson,betsson1001.com,betsson apuestas deportivas,700,75,394
Betsson,betsson1001.com,apuestas betsson,450,55,394
Betsson,betsson1001.com,betsson juegos,350,75,148
Betsson,betsson1001.com,casino betsson,300,76,148
Betsson,betsson1001.com,betsson apuesta,300,60,394
Betsson,betsson1001.com,betsson apuestas colombia,200,45,86
Betsson,betsson1001.com,betsson ingresar,150,74,4
Betsson,betsson1001.com,betsson poker,150,72,13
bizzo,bizzocasino.com,bizzo casino,100,49,36
bizzo,bizzocasinospain.com,bizzo casino,100,49,6
bizzo,es-bizzocasino.com,bizzo casino,100,49,2
Codere,grupocodere.com,codere,16000,49,130
Codere,grupocodere.com,codere colombia,3200,36,677
Codere,grupocodere.com,codere apuestas,500,53,130
Codere,codereonline.com,codere ingresar,450,68,54
Codere,grupocodere.com,codere ingresar,450,68,130
Codere,codereonline.com,codere apuesta,300,63,54
Codere,grupocodere.com,codere apuesta,300,63,130
Codere,grupocodere.com,codere casino,250,56,130
Codere,codereonline.com,codere apuestas deportivas,200,57,54
Codere,grupocodere.com,codere apuestas deportivas,200,57,130
Colbet,colbetcolombia.co,colbet casino,200,50,145
crash,crashcasino.com,crash casino,150,52,13
Fullreto,blog-fullreto.co,fullreto casino,100,27,58
hollywood,hollywoodcasinotoledo.com,hollywood casino,100,33,5
Luckia,luckiagaminggroup.com,luckia casino,500,60,42
Megapuesta,megapuesta-colombia.co,megapuesta casino,100,59,256
melbet,melbet-colombia.com,melbet casino,150,61,51
Mostbet,mostbet-win.com.co,mostbet casino,1200,50,6025
Mostbet,mostbetofficial.com.co,mostbet casino,1200,50,157
Mostbet,mostbetoficial.com,mostbet casino,1200,50,116
Mostbet,mostbets.com.co,mostbet casino,1200,50,432
mrbet,mr.bet,mr bet casino,150,31,53
nine,9ninecasino-es.com,nine casino,100,48,12
nine,ninecasino.com,nine casino,100,48,53
nine,ninecasino.one,nine casino,100,48,8
nine,ninecasino.world,nine casino,100,48,0
nine,ninecasino2.com,nine casino,100,48,6
Pin-Up,pin-up.world,pin up casino,200,26,79
Pin-Up,pin-ups.com.co,pin up casino,200,26,94
Rivalo,rivaloco.com,rivalo colombia,3100,60,248
Rivalo,rivaloco.com,rivalo apuestas,1600,64,248
Rivalo,rivaloco.com,rivalo app,350,65,0
Rivalo,rivaloco.com,rivalo apuestas deportivas,300,62,248
Rivalo,rivaloco.com,rivalo ingresar,250,61,248
rush,rushstreetgaming.com,rush casino,150,64,9
Sportium,sportiumbet.mx,sportium casino,500,56,67
Sportium,sportiumbet.mx,casino sportium,100,54,150
verde,verdecasino.com,verde casino,100,22,45
verde,verdecasino.eu.com,verde casino,100,22,4
vulkanvegas,vulkanvegas-online.com,vulkan vegas casino,100,63,29
vulkanvegas,vulkanvegas.eu.com,vulkan vegas casino,100,63,25
Wplay,wplaycasinos.co,wplay colombia,2400,69,7
Wplay,wplays.co,wplay colombia,2400,69,385
Wplay,wplaycasinos.co,wplay inicio,400,31,24
Wplay,wplaycolombia.com.co,wplay inicio,400,31,116
Wplay,wplays.co,wplay inicio,400,31,385
Wplay,wplaycasinos.co,wplay ingreso,200,38,8
Wplay,wplays.co,wplay ingreso,200,38,385
Wplay,wplaysports.com,descargar wplay,150,50,6
Zamba,zamba-colombia.co,zamba casino,1500,26,52
Zamba,zambacolombia.com,zamba casino,1500,26,52
