Brand name,domain,sat url,DR,organic_keywords,kw_top3,organic_traffic,traffic_value_usd,top_country
Esportes da Sorte,esporte-da-sorte.com,esporte-da-sorte.com/,20.0,37,0,61805,87280.42,"(br, 61752)"
Esportes da Sorte,esportesdasorte-oficial.com.br,esportesdasorte-oficial.com.br/pt-br/,6.0,51,3,23467,32775.2,"(br, 23467)"
Esportes da Sorte,esportesdasorte.net.br,esportesdasorte.net.br/,2.6,36,2,19632,25732.68,"(br, 19632)"
Cbet,cbet-gg.br.com,cbet-gg.br.com/,90.0,7,7,17899,16260.97,"(br, 17899)"
KTO,kto.jogo.com.br,kto.jogo.com.br/,0.8,38,1,4517,7598.11,"(br, 4513)"
Esportes da Sorte,esportesdasortebr.br.com,esportesdasortebr.br.com/pt-br/,90.0,196,7,4221,2317.45,"(br, 4203)"
Esportes da Sorte,esportesdasorte.br.com,esportesdasorte.br.com/,90.0,132,5,2702,1461.67,"(br, 2663)"
Betano,betano.cassino.br.com,betano.cassino.br.com/,90.0,49,1,2688,1681.17,"(br, 2688)"
20Bet,20betsite.com,20betsite.com/,7.0,30,6,2089,3901.54,"(pt, 1765)"
Vai de Bet,vai-de-bet.br.com,vai-de-bet.br.com/,90.0,1,0,1483,2194.14,"(br, 1483)"
Esportes da Sorte,esportes-da-sortes.com,esportes-da-sortes.com/,42.0,47,15,1109,727.33,"(br, 1106)"
Pin-Up,pinupbet.com.br,pinupbet.com.br/,11.0,35,8,310,164.16,"(br, 245)"
Vai de Bet,vaidebetpt.com,vaidebetpt.com/,3.6,46,3,205,351.39,"(br, 205)"
Mostbet,mostbet.net.br,mostbet.net.br/,18.0,29,14,203,159.66,"(br, 192)"
Esportes da Sorte,esportesdasorte-brasil.com.br,esportesdasorte-brasil.com.br/,1.1,6,0,166,142.96,"(br, 166)"
1xBet,1xbetonline.com.br,1xbetonline.com.br/pt-br/,27.0,44,1,159,95.93,"(br, 159)"
1xBet,1xbet1.com.br,1xbet1.com.br/,31.0,41,5,121,88.21,"(br, 111)"
Melbet,melbets.com.br,melbets.com.br/,31.0,21,7,113,63.65,"(br, 105)"
Mostbet,en.mostbetbr.net,en.mostbetbr.net/,11.0,18,0,106,66.19,"(bd, 24)"
22Bet,brasil-22bet.com.br,brasil-22bet.com.br/,0.9,10,4,102,28.66,"(pt, 54)"
Mostbet,mostbetbrasil.com,mostbetbrasil.com/,8.0,15,4,71,55.74,"(br, 67)"
Melbet,melbetbr.com,melbetbr.com/,3.2,15,0,68,99.75,"(br, 60)"
