Brand name,gov_domain,keyword,kw_volume,position,traffic_on_kw,url
Betano,web3.antaq.gov.br,betano cassino online,2100,7,4216,https://web3.antaq.gov.br/dell/casino-betano/
Blaze,servicos.to.gov.br,blaze cassino,41000,5,3072,https://servicos.to.gov.br/blaze-jogo-cassino/
Blaze,bocaiuva.mg.gov.br,blaze cassino download,90,8,2706,https://bocaiuva.mg.gov.br/games/blaze-jogo-cassino/
Blaze,bigbluebutton.sejus.df.gov.br,blaze cassino,41000,6,2458,https://bigbluebutton.sejus.df.gov.br/wps/879/blaze-online-casino-como-jogar
Bet365,web3.antaq.gov.br,bet365 cadastro,8500,3,1301,https://web3.antaq.gov.br/plataforma/cadastro-bet365-cadastro-bet/
Betano,web3.antaq.gov.br,betano cassino,21000,7,1139,https://web3.antaq.gov.br/plataforma/07042026/betano-cassino-%C3%A9-confiavel
KTO,web3.antaq.gov.br,kto cassino,10000,6,745,https://web3.antaq.gov.br/dell/kto%20cassino/
Blaze,servicos.to.gov.br,jogo blaze cassino,100,9,521,https://servicos.to.gov.br/slot-que-mais-paga-na-blaze/
Sportingbet,web3.antaq.gov.br,sportingbet cassino,3900,7,190,https://web3.antaq.gov.br/app/o-sportingbet/
Betano,web3.antaq.gov.br,betano cadastro,3500,7,170,https://web3.antaq.gov.br/plataforma/como-aposta-na-betano-cadastro/
Blaze,cloud.pocodasantas.rs.gov.br,cassino blaze,2100,9,164,https://cloud.pocodasantas.rs.gov.br/casino/20251003/o-que-%C3%A9-blaze
Bet365,web3.antaq.gov.br,codigo bonus bet365 cadastro,20,5,146,https://web3.antaq.gov.br/plataforma/c%C3%B3digo-b%C3%B4nus-bet365-cadastro-resultado/
Bet365,web3.antaq.gov.br,cassino bet365,800,2,124,https://web3.antaq.gov.br/plataforma/8694/bet365-365bet/
Betano,portalfns.saude.gov.br,cassino betano aviator,100,7,106,https://portalfns.saude.gov.br/online16362/betano-aviator/
Sportingbet,web3.antaq.gov.br,sportingbet cassino,3900,10,101,https://web3.antaq.gov.br/article/614/jogos-de-cassino-sportingbet
Betnacional,web3.antaq.gov.br,betnacional cassino,2000,7,95,https://web3.antaq.gov.br/article/137/betnacional-blog
Bet365,web3.antaq.gov.br,bet365 cassino,800,3,95,https://web3.antaq.gov.br/app/bet365-cassino/
Blaze,portalfns.saude.gov.br,blaze jogos de cassino,60,4,93,https://portalfns.saude.gov.br/online3542/blaze-jogos-de-cassino/
Bet365,web3.antaq.gov.br,cassino bet365,800,9,78,https://web3.antaq.gov.br/plataforma/365bet-bet365-casino/
Bet365,web3.antaq.gov.br,bet365 cadastro,8500,10,64,https://web3.antaq.gov.br/plataforma/bet365-registrar-bet-cadastro/
Betano,web3.antaq.gov.br,betano cassino roleta,100,9,61,https://web3.antaq.gov.br/plataforma/2168/jogo-de-roleta-betano/
Bet365,web3.antaq.gov.br,codigo bonus cadastro bet365,90,5,60,https://web3.antaq.gov.br/plataforma/c%C3%B3digo-b%C3%B4nus-bet365-cadastro-online/
Bet365,gitlab.idace.ce.gov.br,cassino da bet365,10,6,59,https://gitlab.idace.ce.gov.br/store/bet365-cassino
Betano,web3.antaq.gov.br,melhor jogo de cassino betano,150,3,51,https://web3.antaq.gov.br/article/melhores-jogos-cassino-betano
Bet365,web3.antaq.gov.br,cadastro bet365,450,3,51,https://web3.antaq.gov.br/dell/cadastro-bet365-brasil.html
Bet365,web3.antaq.gov.br,bet365 cassino,800,6,48,https://web3.antaq.gov.br/plataforma/365bet-bet365-cassino-br/
Superbet,sei.ib.itaborai.rj.gov.br,superbet cadastro,1200,8,47,https://sei.ib.itaborai.rj.gov.br/solr/store/cadastro-superbet
Betano,web3.antaq.gov.br,ficha dourada cassino betano,20,6,45,https://web3.antaq.gov.br/app/como-usar-ficha-dourada-Betano.html
Superbet,web3.antaq.gov.br,superbet cadastro,1200,9,37,https://web3.antaq.gov.br/article/iug/cadastro-superbet/
Bet365,web3.antaq.gov.br,bet365 brasil cadastro,150,8,35,https://web3.antaq.gov.br/plataforma/bet365-cadastro-entrar-aposta/
Bet365,web3.antaq.gov.br,bet365.com cassino,150,2,34,https://web3.antaq.gov.br/dell/bet365/
Betano,web3.antaq.gov.br,bônus cassino betano,60,5,33,https://web3.antaq.gov.br/article/317/b%C3%B4nus-cassino-betano
Blaze,webmail.camaraolimpia.sp.gov.br,cassino blaze,2100,10,29,https://webmail.camaraolimpia.sp.gov.br/dell/blaze-online-casino-como-jogar/
Betano,web3.antaq.gov.br,cassino online betano,250,3,28,https://web3.antaq.gov.br/dell/cassino-online-betano/
Bet365,linhasdecuidado.saude.gov.br,bet365 cadastro login e senha,250,3,28,https://linhasdecuidado.saude.gov.br/articlezqyg/bet365-cadastro-login-e-senha/
Betano,web3.antaq.gov.br,cassino betano rodadas gratis,40,4,27,https://web3.antaq.gov.br/dell/rodada-gratis-cassino-betano/
Sportingbet,web3.antaq.gov.br,sportingbet cadastro,300,5,26,https://web3.antaq.gov.br/plataforma/cadastro-sportingbet-%C3%A9-confi%C3%A1vel/
Blaze,receita.contagem.mg.gov.br,blaze cassino app,250,4,24,https://receita.contagem.mg.gov.br/android/04/blaze-official.html
Betano,web3.antaq.gov.br,betano cassino como ganhar dinheiro,150,3,23,https://web3.antaq.gov.br/plataforma/betano-cassino-como-ganhar-dinheiro-ganha-dinheiro/
Blaze,receita.contagem.mg.gov.br,blaze cadastro,200,3,23,https://receita.contagem.mg.gov.br/android/blaze-com-cadastro/
Betano,web3.antaq.gov.br,melhor jogo de cassino da betano,80,10,22,https://web3.antaq.gov.br/app/melhores-jogos-da-betano/
Betnacional,web3.antaq.gov.br,betnacional cadastro,350,6,22,https://web3.antaq.gov.br/article/206/cadastro-betnacional
Bet365,web3.antaq.gov.br,bet365 brasil cadastro,150,2,22,https://web3.antaq.gov.br/plataforma/fazer-cadastro-bet365-brasil/
Betano,web3.antaq.gov.br,jogo betano cassino,150,2,21,https://web3.antaq.gov.br/plataforma/0743/jogos-betano-cassino/
Bet365,web3.antaq.gov.br,cadastro bet365,450,7,21,https://web3.antaq.gov.br/app/bet365-cadastro-entrar/
Bet365,receita.contagem.mg.gov.br,cassino na bet365,60,5,20,https://receita.contagem.mg.gov.br/android/cassino-bet365-bet-br/
KTO,web3.antaq.gov.br,kto jogos cassino,10,10,19,https://web3.antaq.gov.br/dell/kto/
Blaze,spl.cmsantaluzia.mg.gov.br,blaze cadastro,200,4,19,https://spl.cmsantaluzia.mg.gov.br/android/cadastro-blaze/
Vai de Bet,web3.antaq.gov.br,saldo de bonus cassino vai de bet,0,10,18,https://web3.antaq.gov.br/dell/vai-de-bet-b%C3%B4nus-$10/
Bet365,web3.antaq.gov.br,bet365 cadastro login e senha,250,5,18,https://web3.antaq.gov.br/dell/bet365-cadastro-login-e-senha/ja/
Bet365,receita.contagem.mg.gov.br,bet365 cadastro login,150,3,18,https://receita.contagem.mg.gov.br/android/bet365-cadastro-login-e-senha
Blaze,web3.antaq.gov.br,blaze cassino app,250,8,17,https://web3.antaq.gov.br/dell/blaze/
Bet365,receita.contagem.mg.gov.br,cadastro bet365,450,8,17,https://receita.contagem.mg.gov.br/android/bet365-cadastro-login
Bet7k,portalfns.saude.gov.br,bet7k cadastro,150,3,17,https://portalfns.saude.gov.br/online0237/bet7k-cadastro/
Bet7k,web3.antaq.gov.br,bet7k cadastro,150,9,17,https://web3.antaq.gov.br/article/813/bet7k-b%C3%B4nus-de-cadastro
Bet365,receita.contagem.mg.gov.br,melhores jogos cassino bet365,20,7,15,https://receita.contagem.mg.gov.br/android/melhores-jogos-cassino-bet365/
Sportingbet,geo.cruzalta.rs.gov.br,sportingbet cadastro,300,7,15,https://geo.cruzalta.rs.gov.br/geoserver/store/cadastro-sportingbet
Bet365,web3.antaq.gov.br,bet365 fazer cadastro,200,6,15,https://web3.antaq.gov.br/article/741/fazer-cadastro-bet365
Betano,linhasdecuidado.saude.gov.br,betano cassino como ganhar dinheiro,150,5,14,https://linhasdecuidado.saude.gov.br/article-store/como-ganhar-dinheiro-no-cassino-betano/
Sportingbet,web3.antaq.gov.br,melhor jogos de cassino sportingbet,100,3,14,https://web3.antaq.gov.br/article/970/melhores-jogos-de-cassino-sportingbet
Novibet,receita.contagem.mg.gov.br,novibet cassino,200,6,13,https://receita.contagem.mg.gov.br/android/novibet-site-oficial/
Blaze,web3.antaq.gov.br,blaze cassino download,90,2,13,https://web3.antaq.gov.br/app/download-blaze-cassino/
Blaze,sistema.conceicaodorioverde.mg.gov.br,blaze cassino png,0,5,13,https://sistema.conceicaodorioverde.mg.gov.br/blaze-apostas-logo-png.aspx
Betano,web3.antaq.gov.br,melhor jogo cassino betano,100,4,12,https://web3.antaq.gov.br/dell/melhores-jogos-cassino-betano/
Blaze,web3.antaq.gov.br,blaze cassino apk,70,2,12,https://web3.antaq.gov.br/app/blaze-cassino-apk-download.html/
Blaze,planodecarreira.mec.gov.br,blaze cadastro,200,6,12,https://planodecarreira.mec.gov.br/app/blaze-cadastro-jogar/
KTO,download.fde.sp.gov.br,kto cassino ao vivo,200,6,11,https://download.fde.sp.gov.br/modelo/video/?play=kto%20cassino%20ao%20vivo
Betano,web3.antaq.gov.br,betano cassino roleta,100,4,11,https://web3.antaq.gov.br/article/183/betano-cassino-roleta
Betnacional,receita.contagem.mg.gov.br,betnacional cadastro,350,9,11,https://receita.contagem.mg.gov.br/android/betnacional-aposta-cadastro/
Bet365,web3.antaq.gov.br,fazer cadastro bet365,200,6,11,https://web3.antaq.gov.br/plataforma/fazer-cadastro-na-bet365-apostar-ao-vivo/
Bet365,web3.antaq.gov.br,bet365.com cadastro,20,4,11,https://web3.antaq.gov.br/article/137/bet365-cadastro-entrar
Blaze,web3.antaq.gov.br,blaze cadastro,200,7,10,https://web3.antaq.gov.br/dell/blaze-cadastro-aposta-gratis/
Betano,web3.antaq.gov.br,melhor jogo cassino betano,100,10,9,https://web3.antaq.gov.br/app/melhores-jogos-cassino-betano/
Betano,web3.antaq.gov.br,melhor cassino da betano,80,4,9,https://web3.antaq.gov.br/dell/qual-melhor-cassino-da-betano/
Betano,receita.contagem.mg.gov.br,br betano cassino,100,5,8,https://receita.contagem.mg.gov.br/android/br-betano-cassino/
Bet365,web3.antaq.gov.br,jogo cassino bet365,60,2,8,https://web3.antaq.gov.br/plataforma/jogo-cassino-bet365-aposta-esportiva-casino/
Bet365,web3.antaq.gov.br,bet365 bonus de cadastro,80,4,8,https://web3.antaq.gov.br/plataforma/bet365-b%C3%B4nus-cadastro-confiavel/
Betano,receita.contagem.mg.gov.br,melhores jogos de cassino betano,90,5,7,https://receita.contagem.mg.gov.br/android/melhores-jogos-de-cassino-betano/
Bet365,web3.antaq.gov.br,bet365 login cassino,60,3,7,https://web3.antaq.gov.br/article/897/bet365-login-cassino
Sportingbet,turismo.cuiaba.mt.gov.br,sportingbet cadastro,300,10,7,http://turismo.cuiaba.mt.gov.br/store/apps.php/cadastrar-no-sportingbet/
Bet365,web3.antaq.gov.br,código bônus bet365 cadastro,100,5,7,https://web3.antaq.gov.br/app/c%C3%B3digo-b%C3%B4nus-bet365-cadastro/
Blaze,receita.contagem.mg.gov.br,cadastro blaze,100,5,7,https://receita.contagem.mg.gov.br/android/blaze-apostas-cadastro/
Novibet,web3.antaq.gov.br,novibet bônus de cadastro,100,6,7,https://web3.antaq.gov.br/hot/novibet-b%C3%B4nus-de-cadastro/
Bet365,web3.antaq.gov.br,bet365 bonus cadastro,40,7,7,https://web3.antaq.gov.br/plataforma/bet365-b%C3%B4nus-cadastro-real/
Sportingbet,receita.contagem.mg.gov.br,sportingbet 365 cadastro,0,7,7,https://receita.contagem.mg.gov.br/android/sportingbet-365-login/
Bet365,web3.antaq.gov.br,bet365.com cassino,150,7,6,https://web3.antaq.gov.br/article/bet365-com-cassino/
Bet365,receita.contagem.mg.gov.br,bet365 cadastro login,150,8,6,https://receita.contagem.mg.gov.br/store/apps.php/bet365-login-cadastro
Bet365,web3.antaq.gov.br,cadastro no bet365,150,8,6,https://web3.antaq.gov.br/plataforma/fazer-cadastro-bet365-365-apuestas/
?,receita.contagem.mg.gov.br,bet7k cadastro,150,8,6,https://receita.contagem.mg.gov.br/android/aposte-mais.html
Bet7k,web3.antaq.gov.br,bet7k bônus de cadastro,150,8,6,https://web3.antaq.gov.br/article/536/bet7k-b%C3%B4nus-de-cadastro
Bet365,biblioteca.saude.gov.br,bet365 bonus de cadastro,80,5,6,https://biblioteca.saude.gov.br/app/c%C3%B3digo-b%C3%B4nus-bet365-cadastro/
Blaze,receita.contagem.mg.gov.br,blaze cassino download,90,6,5,https://receita.contagem.mg.gov.br/android/blaze-download-app/
Betano,web3.antaq.gov.br,melhores jogos de cassino betano,90,8,5,https://web3.antaq.gov.br/hot/melhor-jogo-do-cassino-betano/
Blaze,receita.contagem.mg.gov.br,blaze cassino é confiável,80,7,5,https://receita.contagem.mg.gov.br/android/blaze-%C3%A9-confi%C3%A1vel
Blaze,web3.antaq.gov.br,blaze cassino apk,70,6,5,https://web3.antaq.gov.br/article/012/blaze-cassino-apk/
Blaze,web3.antaq.gov.br,app blaze cassino,60,4,5,https://web3.antaq.gov.br/plataforma/blaze-casa-de-apostas-cassino/
Blaze,web3.antaq.gov.br,baixar blaze cassino,60,5,5,https://web3.antaq.gov.br/plataforma/blaze-cassino-esportivo-jogar-gratis/fr/
Betano,web3.antaq.gov.br,roleta cassino betano,60,4,5,https://web3.antaq.gov.br/dell/roleta-cassino-betano/
Bet365,web3.antaq.gov.br,bet365 bonus cadastro,40,3,5,https://web3.antaq.gov.br/plataforma/bet365-b%C3%B4nus-cadastro-atualizado/
Betano,receita.contagem.mg.gov.br,betano jogos de cassino,70,10,4,https://receita.contagem.mg.gov.br/android/jogos-betano-cassino/
Bet365,glpi.palmeiradosindios.al.gov.br,jogo cassino bet365,60,6,4,https://glpi.palmeiradosindios.al.gov.br/store9822/bet365-jogos-cassino
Blaze,web3.antaq.gov.br,blaze cassino paga de verdade,40,3,4,https://web3.antaq.gov.br/plataforma/blaze-cassino-paga-mesmo-cassino-pix-1-real-seguro/
Bet365,web3.antaq.gov.br,jogos cassino bet365,10,2,4,https://web3.antaq.gov.br/plataforma/jogo-cassino-bet365-bet-casino/
Sportingbet,web3.antaq.gov.br,melhor jogos de cassino sportingbet,100,10,3,https://web3.antaq.gov.br/dell/melhor-jogos-de-cassino-sportingbet/
Betano,web3.antaq.gov.br,não tem permissão para jogar jogos de cassino betano,30,4,3,https://web3.antaq.gov.br/plataforma/n%C3%A3o-tem-permiss%C3%A3o-para-jogar-jogos-de-cassino-betano-jogos-de-aposta-esportiva/
Blaze,receita.contagem.mg.gov.br,blaze cassino apk download,30,4,3,https://receita.contagem.mg.gov.br/android/blaze-cassino-app-download/
Bet365,web3.antaq.gov.br,código bônus bet365 cadastro,100,9,3,https://web3.antaq.gov.br/app/codigo-bonus-bet365-cadastro/
Betano,web3.antaq.gov.br,código promocional betano cadastro,100,10,3,https://web3.antaq.gov.br/article/pbm/c%C3%B3digo-promocional-betano-cadastro
Betano,redefederal.mec.gov.br,betano bonus cadastro,50,6,3,https://redefederal.mec.gov.br/app/betano-bonus-cadastro/
Bet365,web3.antaq.gov.br,cassino na bet365,60,10,2,https://web3.antaq.gov.br/app/cassino-na-bet365/
Blaze,web3.antaq.gov.br,app blaze cassino,60,8,2,https://web3.antaq.gov.br/plataforma/app-blaze-cassino/
Blaze,web3.antaq.gov.br,baixar blaze cassino,60,8,2,https://web3.antaq.gov.br/article/tmn/blaze-cassino-esportivo-download
Betano,receita.contagem.mg.gov.br,não tem permissão para jogar jogos de cassino betano,30,5,2,https://receita.contagem.mg.gov.br/android/n%C3%A3o-tem-permiss%C3%A3o-para-jogar-jogos-de-cassino-betano-funciona-mesmo/
Betano,web3.antaq.gov.br,não tem permissão para jogar jogos de cassino betano,30,6,2,https://web3.antaq.gov.br/plataforma/n%C3%A3o-tem-permiss%C3%A3o-para-jogar-jogos-de-cassino-betano-vai-de/
Betano,web3.antaq.gov.br,aviator cassino betano,30,9,2,https://web3.antaq.gov.br/app/como-jogar-aviator-no-Betano/
Betano,web3.antaq.gov.br,jogo de cassino betano,30,5,2,https://web3.antaq.gov.br/app/jogos-betano-cassino/
Blaze,web3.antaq.gov.br,blaze cassino paga,20,3,2,https://web3.antaq.gov.br/app/jogo-blaze-cassino-paga-mesmo/
Betano,web3.antaq.gov.br,bônus de cassino betano,20,9,2,https://web3.antaq.gov.br/plataforma/5127/b%C3%B4nus%20cassino%20betano/
Sportingbet,web3.antaq.gov.br,cassino sportingbet roleta,20,4,2,https://web3.antaq.gov.br/article/741/cassino-sportingbet-roleta
Blaze,web3.antaq.gov.br,cassino blaze como funciona,10,2,2,https://web3.antaq.gov.br/plataforma/jogo%20blaze%20como%20funciona/
Betano,web3.antaq.gov.br,betano bonus cadastro,50,9,2,https://web3.antaq.gov.br/article/zbo/bonus-cadastro-betano
Betano,web3.antaq.gov.br,fazer cadastro na betano,30,7,2,https://web3.antaq.gov.br/article/548/fazer-cadastro-na-betano
KTO,web3.antaq.gov.br,cupom kto cadastro,10,9,2,https://web3.antaq.gov.br/plataforma/kto-cadastro-cupom/
Betano,receita.contagem.mg.gov.br,roleta cassino betano,60,10,1,https://receita.contagem.mg.gov.br/android/betano-cassino-roleta/
Bet365,receita.contagem.mg.gov.br,como jogar cassino na bet365,40,9,1,https://receita.contagem.mg.gov.br/android/como-jogar-cassino-na-bet365/
Betano,web3.antaq.gov.br,cassino betano rodadas gratis,40,10,1,https://web3.antaq.gov.br/plataforma/20260211/cassino-betano-rodadas-gratis/
Betano,web3.antaq.gov.br,não tem permissão para jogar jogos de cassino betano,30,10,1,https://web3.antaq.gov.br/article/n%C3%A3o-tem-permiss%C3%A3o-para-jogar-jogos-de-cassino-betano-b%C3%B4nus/
Betano,web3.antaq.gov.br,bonus de cassino betano,20,6,1,https://web3.antaq.gov.br/article/478/bonus-de-cassino-betano
KTO,receita.contagem.mg.gov.br,cupom kto cassino,20,5,1,https://receita.contagem.mg.gov.br/android/cupom-kto/
KTO,web3.antaq.gov.br,cupom kto cassino,20,8,1,https://web3.antaq.gov.br/dell/cupom-kto/
Bet365,web3.antaq.gov.br,cassino ao vivo bet365,20,5,1,https://web3.antaq.gov.br/app/bet365-casino-ao-vivo/
Bet365,web3.antaq.gov.br,cassino ao vivo bet365,20,9,1,https://web3.antaq.gov.br/plataforma/7184/jogo-ao-vivo-bet365/
Betano,web3.antaq.gov.br,bônus de cassino betano,20,6,1,https://web3.antaq.gov.br/plataforma/20260211/bonus-cassino-betano/
