brand,domain,domain_type,DR,organic_kw,traffic,ref_domains,ref_foll,ref_nofoll,ref_ips,subnets,backlinks,bl_followed,bl_nofollow,bl_301_redirect,bl_internal,outgoing_links,pct_followed,pct_301,likely_drop
1win,1winpro.com.br,EMD local (.br),38.0,4,21,90,30,60,89,84,221,159,62,0,356,132,71.9,0.0,maybe
1xBet,1xbet1.com.br,EMD local (.br),31.0,41,121,632,77,555,740,363,1748,238,1510,0,683,130,13.6,0.0,yes
1xBet,1xbetonline.com.br,EMD local (.br),27.0,44,159,549,77,473,654,381,2044,446,1598,0,1877,217,21.8,0.0,yes
20Bet,20bet-brasil.com,EMD geral (.com/.net/.bet),32.0,0,0,173,62,111,148,117,197,81,116,0,3,16,41.1,0.0,yes
20Bet,20betsite.com,EMD geral (.com/.net/.bet),7.0,30,2089,498,49,449,587,293,1525,143,1382,0,222,47,9.4,0.0,yes
22Bet,22bett.com.br,EMD local (.br),36.0,0,0,289,60,229,346,232,933,149,784,0,121,40,16.0,0.0,yes
22Bet,brasil-22bet.com.br,EMD local (.br),0.9,10,102,74,7,67,74,67,177,21,156,0,256,42,11.9,0.0,maybe
BC.Game,bcgame.lat,TLD barato,0.4,0,0,135,12,123,142,110,164,14,150,0,0,1,8.5,0.0,yes
Bet365,bet365s.com.br,EMD local (.br),7.0,0,0,589,56,533,629,448,5544,80,5464,0,125,8,1.4,0.0,yes
Bet7k,7k.cassino.br.com,subdomain-farm,90.0,0,0,110,25,85,120,103,217,30,187,1,4,0,13.8,0.5,yes
Betano,betano.cassino.br.com,subdomain-farm,90.0,49,2688,863,320,546,889,643,3492,2267,1225,31,4,0,64.9,0.9,yes
Betfair,betfairbrasil.com.br,EMD local (.br),3.7,14,1,183,30,153,163,128,332,47,285,0,993,160,14.2,0.0,yes
BetFury,betfurycasino.com.br,EMD local (.br),9.0,2,0,51,24,27,61,57,885,698,187,0,18,24,78.9,0.0,no
Betnacional,betnacionalbrasil.com,EMD geral (.com/.net/.bet),0.0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,no
Betobet,betobet-brasil.com,EMD geral (.com/.net/.bet),0.1,6,4,182,28,154,171,133,272,40,232,0,1,0,14.7,0.0,yes
Betsson,betsson-brasil.br.com,subdomain-farm,90.0,2,0,40,11,29,42,42,58,18,40,0,0,0,31.0,0.0,no
Betsson,betssonbrasil.com.br,EMD local (.br),9.0,4,13,291,93,200,278,205,553,245,308,0,30142,4243,44.3,0.0,yes
Betsson,betssoncassinobrasil.com,EMD geral (.com/.net/.bet),0.0,0,0,112,3,109,121,90,125,3,122,0,0,0,2.4,0.0,yes
Betsson,betssons.br.com,subdomain-farm,90.0,0,0,25,19,6,25,25,43,36,7,0,0,0,83.7,0.0,no
Betwinner,betwinnerbrasil.com.br,EMD local (.br),21.0,2,0,584,388,202,603,433,1159,855,304,0,3,0,73.8,0.0,yes
Blaze,blaze-apostas-br.com,EMD geral (.com/.net/.bet),14.0,0,0,741,699,42,916,604,8438,8280,158,0,56,5,98.1,0.0,yes
Blaze,blazeaposta.org,EMD geral (.com/.net/.bet),27.0,0,0,109,70,40,84,69,130,88,42,0,3652,71,67.7,0.0,yes
Blaze,blazeapostasonline.com.br,EMD local (.br),0.0,0,0,14,14,0,22,21,47,47,0,0,1,2,100.0,0.0,no
Blaze,blazebrasil.com.br,EMD local (.br),0.7,0,0,371,14,357,367,299,838,17,821,0,10,0,2.0,0.0,yes
Bodog,bodog-br.com,EMD geral (.com/.net/.bet),1.6,0,0,160,42,118,134,112,175,53,122,0,0,3,30.3,0.0,yes
Bodog,bodogbr.bet,EMD geral (.com/.net/.bet),6.0,0,0,140,21,119,136,117,149,22,127,0,0,0,14.8,0.0,yes
Brazino777,brazino-777.br.com,subdomain-farm,90.0,0,0,8,0,8,8,7,8,0,8,0,33,1,0.0,0.0,no
Brazino777,brazino777.cassino.br.com,subdomain-farm,90.0,0,0,53,23,30,48,45,71,27,44,1,4,0,38.0,1.4,no
Brazino777,brazino777br.com.br,EMD local (.br),7.0,2,4,30,18,12,29,28,89,76,13,0,93,48,85.4,0.0,no
Brazino777,brazinos777.com.br,EMD local (.br),0.6,0,0,90,82,8,91,84,171,162,9,0,808,473,94.7,0.0,maybe
Brazino777,b777.com.br,EMD local (.br),42.0,0,0,82,54,29,56,53,136,99,37,0,141,23,72.8,0.0,maybe
Brazino777,brazino777-oficial.com.br,EMD local (.br),24.0,0,0,101,65,36,90,82,259,164,95,0,875,53,63.3,0.0,yes
Brazino777,brazinoonline.com.br,EMD local (.br),22.0,0,0,1,1,0,1,1,1,1,0,0,202,0,100.0,0.0,no
Cbet,cbet-br.com,EMD geral (.com/.net/.bet),39.0,0,0,4092,1110,2999,5084,2147,6130519,6105537,24982,0,0,0,99.6,0.0,yes
Cbet,cbet-gg.br.com,subdomain-farm,90.0,7,17899,367,313,54,361,311,567,423,144,0,4,1,74.6,0.0,yes
Esportes da Sorte,esporte-da-sorte.com,EMD geral (.com/.net/.bet),20.0,37,61805,350,70,280,379,240,1416,466,950,1,10623,2275,32.9,0.1,yes
Esportes da Sorte,esportes-da-sortes.com,EMD geral (.com/.net/.bet),42.0,47,1109,496,227,269,447,273,1028,475,553,0,850,121,46.2,0.0,yes
Esportes da Sorte,esportesdasorte-brasil.com.br,EMD local (.br),1.1,6,166,3,3,0,2,2,3,3,0,0,97,27,100.0,0.0,no
Esportes da Sorte,esportesdasorte-oficial.com.br,EMD local (.br),6.0,51,23467,24,1,23,31,30,91,1,90,0,0,0,1.1,0.0,no
Esportes da Sorte,esportesdasorte.br.com,subdomain-farm,90.0,132,2702,249,87,162,277,214,416,127,289,4,0,0,30.5,1.0,maybe
Esportes da Sorte,esportesdasorte.net.br,EMD local (.br),2.6,36,19632,172,38,134,190,164,429,79,350,0,92,36,18.4,0.0,yes
Esportes da Sorte,esportesdasortebr.br.com,subdomain-farm,90.0,196,4221,88,48,40,63,58,208,88,120,0,1083,345,42.3,0.0,maybe
EstrelaBet,br-estrelabet.com,EMD geral (.com/.net/.bet),1.1,0,0,158,52,106,144,122,182,75,107,0,11,0,41.2,0.0,yes
EstrelaBet,casinosucesso.com,EMD geral (.com/.net/.bet),32.0,0,0,450,260,193,446,345,725,382,343,0,2,2,52.7,0.0,yes
