Brand name,domain,url,mirror_reason
1win,1win.com.br,https://1win.com.br/,whitelist operador (dominio nu/legado)
1xBet,1xbet.com.br,https://1xbet.com.br/,whitelist operador (dominio nu/legado)
BC.Game,br.bc1.game,https://br.bc1.game/,whitelist operador (dominio nu/legado)
Bet7k,bet7k.com,https://bet7k.com/,whitelist operador (dominio nu/legado)
Betfair,betfair.cat,https://betfair.cat/,whitelist operador (dominio nu/legado)
BetFury,bf1.io,https://bf1.io/,whitelist operador (dominio nu/legado)
Brazino777,brazino777.com.br,https://www.brazino777.com.br/,whitelist operador (dominio nu/legado)
EstrelaBet,estrelabet.com,https://estrelabet.com/,whitelist operador (dominio nu/legado)
F12.bet,f12-bet.com,https://www.f12-bet.com/,whitelist operador (dominio nu/legado)
Galera.bet,galera.bet,https://galera.bet/,whitelist operador (dominio nu/legado)
LeonBet,leon.bet,https://leon.bet/,whitelist operador (dominio nu/legado)
LeonBet,leonbet.com.br,https://leonbet.com.br/en/,whitelist operador (dominio nu/legado)
Pixbet,pixbet.com,https://pixbet.com/,whitelist operador (dominio nu/legado)
Roobet,roobet.com,https://roobet.com/pt/,whitelist operador (dominio nu/legado)
